episode_reward,speaker_loss,listener_loss,speaker_action_distribution_table,_step,_timestamp,episode_length,speaker_reward,listener_reward,speaker_q_values,listener_q_values,average_reward_last_10,_runtime,listener_action_distribution_table,epsilon,global_step,steps_per_second,run_name
-37.1749034320642,,,"{'size': 81, 'nrows': 3, 'ncols': 2, 'log_mode': 'IMMUTABLE', 'sha256': '962a533657904fd6cd64245ecac74ca75a5d4d49080394575721ce737b176027', '_latest_artifact_path': 'wandb-client-artifact://e84o8th8avda6x7rx9ctmrjwuff8jbd2hrrwpbz4f2ya7zihyaeyqtdrcbl991lmcdvy4zdz34s9iqrj1alsss92rxay6sep3amlrcf7ryra756xknsh52ed6r0da5wi:latest/speaker_action_distribution_table.table.json', 'path': 'media/table/speaker_action_distribution_table_924_962a533657904fd6cd64.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://kfbzuu3gx7g0fs8ymn5ucejtj4z76lovf62baz2ugjimmininxz9s6gmwa8q3uirgriydri57uvlkdsqejp2j90xrwm02rxblnsgfdjwepfhgwkdyjz7o0vk09sq1k2j/speaker_action_distribution_table.table.json'}",924,1757661669.388312,25.0,-1.4869961372825684,-1.4869961372825684,,,,81.672528667,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://e95knwlf2obr7wnqpgtb9m6diqz8pr32mldskt98ytspw8r4nnz1afos7ozlshpwnu3idt8ss8210uhs8n1b1s1jo2k8jiimqx0mggwp35reanzroasn0a2t41h1cr9b/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://g8obdnu5zy9lnu34z7h3edgzkl4ipvejfnsbo1jsq9u94likr1ahkv0rztt2vdjsakjrfm1t8x33pk7vlxstf3848qkz9h6h3433p1u2r7ventixkcuiipf81kc2zauc:latest/listener_action_distribution_table.table.json', 'sha256': '4b67105a77dc485a04b80fc5556af0b49aa82f3d02a0b2efe26a24075b8d22b6', 'size': 101, 'nrows': 5, 'ncols': 2, 'path': 'media/table/listener_action_distribution_table_924_4b67105a77dc485a04b8.table.json', '_type': 'table-file'}",0.1221999999999999,924,,learnable_alpha__52
-44.8193411857102,,,"{'ncols': 2, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://ourllkkwtb9imakvefhu4hobpp51w1vv54gxxk9ilm327ged3iyzm9ivky3rnvje49wv6fhhacbmmxtb8b0kko3ixtv9tu0b1qxmlp3vi5gv2behr700up0lhcb2t0hd/speaker_action_distribution_table.table.json', 'sha256': '1ad44ea48cca555e948186cc28426628748e3453d0a29cc32d7819ea59c3d8b2', 'size': 80, 'path': 'media/table/speaker_action_distribution_table_974_1ad44ea48cca555e9481.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://e1oeu618fvg0xlcdc8kiyjfp4rmpo6d15d2hdzec39g1nmkco7ez7kn5p42knusw0gb5c38ivvlf13r9s3xtqt6rzrj8wdvulkqwzw1tiexklgyid4yddp5rzmn519al:latest/speaker_action_distribution_table.table.json', 'nrows': 3}",974,1757661673.466739,25.0,-4.675727375219529,-4.675727375219529,,,,85.898699333,"{'size': 103, 'ncols': 2, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://xdcf2m04f68c7d9p01y78zsolrvbzazdcuswrxlyc1514f0uhnawpzpca5vm1td97q1j0rbxzu11iimo52oe122py352v0ruf3fs7v1wsv4t1hro2uvc4adrklcjsjeh/listener_action_distribution_table.table.json', 'sha256': '499325bbe808ae15da6d3814c2336b28d71c6141557587242d1e7d64c1212c6f', 'nrows': 5, 'path': 'media/table/listener_action_distribution_table_974_499325bbe808ae15da6d.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://5rfd2hmsctlqdwrixt7uc0fbme9tlgor0b3l8wbfctk3nsahivy04pzm21lsfvscs7mmcqt5fba19jecbifctxa6ni79u79t9iv51yq1d92klo9y82qmszxb0wcs62vv:latest/listener_action_distribution_table.table.json'}",0.0746999999999999,974,,learnable_alpha__52
-50.377716397612694,,,"{'_type': 'table-file', 'sha256': '8bbe95684924d1cbb649392c3d683b8ca7485ca0ef753d0e728ea34f5f8ea5fd', '_latest_artifact_path': 'wandb-client-artifact://soi0c1fqwx335rqt6cx0mcj7jp5kc6mhoo1t4rqbn7y1ozc7tcu6wwdifq4r3ligsy1h5kepviqb7ezz23uf4d7xnvegoxvaoxui6grt5nmj4mrpyds671omey8v0m0j:latest/speaker_action_distribution_table.table.json', 'nrows': 3, 'ncols': 2, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://d806xqeikipf2wm5o1gznwom0w1fc29ytyd4lna2ge13092vvvtyhes7ruq32k80eexhtouxexsdazz5mh3ph5l5k5dxh78rinjkm9rw9ds43t24yw6oxu68f0pw0v6b/speaker_action_distribution_table.table.json', 'size': 80, 'path': 'media/table/speaker_action_distribution_table_1024_8bbe95684924d1cbb649.table.json'}",1024,1757661677.816586,25.0,-5.5982784136283525,-5.5982784136283525,,,,90.157952875,"{'artifact_path': 'wandb-client-artifact://0dmgejwrd25n05edm60wyny5po6mp1leinp831bhui539cq1psavvb07n9xzxpt2cguhlg090j3ey31nocdsv8vb16ey8oxbblc1orlk7uthv2uu7vdd7j02lz2aklg0/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://6pwcry2iuxscrmuc0us94qkgcwqagsz8mda6ujwh5lz91fcj6tl977aqq6fglvg893gg4g1vkrgp0imggv93l7cril8bz420s05lbac32xt1kuso132lqmh33ffw3m1z:latest/listener_action_distribution_table.table.json', 'size': 102, 'path': 'media/table/listener_action_distribution_table_1024_88f4123da38a2d09c503.table.json', 'log_mode': 'IMMUTABLE', 'sha256': '88f4123da38a2d09c503e14d8b2a1a0b8c514c50170100e3969234818ac63a4d', 'nrows': 5, '_type': 'table-file', 'ncols': 2}",0.05,1024,,learnable_alpha__52
,0.2260627150535583,0.1852926462888717,,1030,1757661678.023956,,,,-0.2148152589797973,-0.8110287189483643,-56.6324095788371,90.346175792,,0.05,1030,11.0,learnable_alpha__52
,0.1454477310180664,0.1641496419906616,,1040,1757661678.2121558,,,,-0.4652445316314697,-1.0613605976104736,-56.6324095788371,90.537342292,,0.05,1040,12.0,learnable_alpha__52
,0.137139081954956,0.1598582565784454,,1050,1757661678.40334,,,,-0.5968170762062073,-1.2602286338806152,-69.3500829133067,90.722688792,,0.05,1050,12.0,learnable_alpha__52
,0.1163568273186683,0.1160054579377174,,1060,1757661678.5886972,,,,-0.8160268664360046,-1.297394037246704,-69.3500829133067,90.915329958,,0.05,1060,12.0,learnable_alpha__52
,0.2245250046253204,0.1423016190528869,,1080,1757661682.852708,,,,-0.9214717149734496,-1.2349555492401123,-49.382181782429726,95.174287208,,0.05,1080,11.0,learnable_alpha__52
,0.2843526303768158,0.1791158616542816,,1090,1757661683.040326,,,,-0.886713981628418,-1.2046661376953125,-49.382181782429726,95.361549583,,0.05,1090,11.0,learnable_alpha__52
-12.65616709433245,,,"{'path': 'media/table/speaker_action_distribution_table_1124_b763eb9d0f5de1274217.table.json', '_type': 'table-file', 'ncols': 2, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://iuxjhwzhsu6mmxop6cnvfq9ut24w07lumv45cu87clp8v6od3koz3y82e39qe9wx4szr70vo6cl7od6z7va6yino3rxii4595w9wd9j46n7z8ayh5mf1lc1b97byah66:latest/speaker_action_distribution_table.table.json', 'artifact_path': 'wandb-client-artifact://zzzepw1s1u5wilyoo6lr21le5fftfynzhadttzsigyengjaswjjhat4n9zq92pte2on8r5aymm618grzvc5mxjy1wke0x9wqq9a6fb0n005vq7o9lmbz6ltmsfroj0uf/speaker_action_distribution_table.table.json', 'sha256': 'b763eb9d0f5de1274217f9be6396ffb44b45850c143d46ae6717fac15ce64725', 'size': 80, 'nrows': 3}",1124,1757661687.457676,25.0,-0.5843595102306449,-0.5843595102306449,,,,99.798362583,"{'nrows': 5, 'log_mode': 'IMMUTABLE', 'sha256': 'c9c8f09dc0cb22dffd411f41c0dc3aa02e719379451b70de8bc259a1a2a84ec2', 'path': 'media/table/listener_action_distribution_table_1124_c9c8f09dc0cb22dffd41.table.json', '_type': 'table-file', 'ncols': 2, 'artifact_path': 'wandb-client-artifact://1b9tvpje1yl0flc4k3kntqbgs1o5zyqkin7ibim3299x4h6zs1fmpckx4rleb3jf9xsdz9j9084cu1ws4hdkp1qgi5z501idf7pub09brrmbddn745zv7sv4jsdvlk9n/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://r31h24r8i2xj9kvsh570wp3xtanc79krvyuckfnjtsnp1un9kz5fp87w3t4vm7kwhq6kk6wvax8ymz69s4pan13neugwne0ugtl61azwx4may468nz2g70j8ri53skvl:latest/listener_action_distribution_table.table.json', 'size': 102}",0.05,1124,,learnable_alpha__52
