speaker_q_values,episode_length,_step,_timestamp,global_step,episode_reward,speaker_loss,steps_per_second,epsilon,speaker_action_distribution_table,listener_action_distribution_table,listener_loss,listener_reward,listener_q_values,speaker_reward,_runtime,average_reward_last_10,run_name
,,,,24,,,,,,,,,,,,,dqn_run_0
,,,,7710,,0.1057279163545851,,,,,0.0728507057443997,,,,,-102.47283819476088,dqn_run_0
,,,,2760,,0.2220039781440239,,,,,0.1388342228690585,,,,,-175.1308275351202,dqn_run_0
,,,,7720,,0.068786410037747,,,,,0.0473810252562134,,,,,-86.12913424486686,dqn_run_0
,,,,2750,,0.2257091013473839,,,,,0.0874969880304833,,,,,-108.2063047387311,dqn_run_0
,,,,7724,,,,,,,,,,,,,dqn_run_0
,,,,2740,,0.1410213650628841,,,,,0.1651717382049379,,,,,-97.23839602932036,dqn_run_0
,,,,7730,,0.10083378673806,,,,,0.0578037090357654,,,,,-110.97635419765383,dqn_run_0
,,,,2730,,0.2144700138443527,,,,,0.0563425616299183,,,,,-144.63202334102115,dqn_run_0
,,,,7740,,0.0767039902865791,,,,,0.0580526213382074,,,,,-30.168911770207988,dqn_run_0
,,,,2724,,,,,,,,,,,,,dqn_run_0
,,,,7750,,,,,,,,,,,,,dqn_run_0
,,,,7700,,0.0832210152670522,,,,,0.0583329109742196,,,,,-125.87877515473672,dqn_run_0
,,,,7760,,0.0807156822997359,,,,,0.0582053911797202,,,,,-88.21183660337626,dqn_run_0
,,,,7770,,0.0679191367636455,,,,,0.0615792172242562,,,,,-104.50334712407674,dqn_run_0
,,,,2710,,0.0810081204782932,,,,,0.036152082221781,,,,,-143.77439509455294,dqn_run_0
,,,,7774,,,,,,,,,,,,,dqn_run_0
,,,,2700,,0.1880585092315679,,,,,0.1419360564455512,,,,,-107.2697224215764,dqn_run_0
,,,,7780,,0.0386799734988623,,,,,0.0607271905897588,,,,,-155.58975740654716,dqn_run_0
,,,,2690,,0.1931637897294701,,,,,0.0061165005387417,,,,,-121.34890604419664,dqn_run_0
,,,,7790,,0.0765665316522238,,,,,0.0638030589678111,,,,,-132.95945022306665,dqn_run_0
,,,,2680,,0.1568292435374013,,,,,0.1145503550852681,,,,,-113.50131414759116,dqn_run_0
,,,,7800,,0.1044388635573213,,,,,0.0733566357820188,,,,,-80.40937627913472,dqn_run_0
,,,,7810,,0.0823640411990251,,,,,0.0648205417010417,,,,,-138.3382698703758,dqn_run_0
,,,,2674,,,,,,,,,,,,,dqn_run_0
,,,,2720,,0.0597425405434931,,,,,0.1521557141064875,,,,,-78.17889225372173,dqn_run_0
,,,,7820,,0.1475806281374964,,,,,0.0757671485081903,,,,,-113.43518567401377,dqn_run_0
,,,,2770,,0.2383402833116231,,,,,0.0672162667771,,,,,-163.87001553764756,dqn_run_0
,,,,2774,,,,,,,,,,,,,dqn_run_0
,,,,2870,,0.1042856264762011,,,,,0.0808707611335781,,,,,-80.69929257113641,dqn_run_0
,,,,7580,,0.0885713679788039,,,,,0.0658714064342197,,,,,-91.38726679965347,dqn_run_0
,,,,2860,,0.059449654325123,,,,,0.1479558105909288,,,,,-135.9277833171266,dqn_run_0
,,,,7590,,0.0582318236703904,,,,,0.0664849523505187,,,,,-104.18419356582724,dqn_run_0
,,,,2850,,0.190798129395433,,,,,0.1989098097423765,,,,,-38.6335556469613,dqn_run_0
,,,,7600,,,,,,,,,,,,,dqn_run_0
,,,,7610,,0.0828733017346611,,,,,0.0597906009949245,,,,,-120.047229815829,dqn_run_0
,,,,2840,,0.2647046570478035,,,,,0.0373435008619242,,,,,-48.424914988554946,dqn_run_0
,,,,7620,,0.0784306573334067,,,,,0.0440228904916614,,,,,-73.40216040560466,dqn_run_0
,,,,2830,,0.1938585016549484,,,,,0.1526902928232435,,,,,-85.38700164726578,dqn_run_0
,,,,7624,,,,,,,,,,,,,dqn_run_0
,,,,7690,,0.078082455521313,,,,,0.041351091291583,,,,,-55.609008000921776,dqn_run_0
,,,,2824,,,,,,,,,,,,,dqn_run_0
,,,,2820,,0.1715449636355497,,,,,0.0602768278153273,,,,,-41.29741210761123,dqn_run_0
,,,,7640,,0.087488258547318,,,,,0.0741240468459854,,,,,-54.486592779239935,dqn_run_0
,,,,2810,,0.1081842872304319,,,,,0.1355579546957209,,,,,-100.6833947485214,dqn_run_0
,,,,7650,,0.0581519137020075,,,,,0.0503482918533872,,,,,-42.16206223297607,dqn_run_0
,,,,7660,,0.0756270944469121,,,,,0.0737469458980975,,,,,-116.35435063941406,dqn_run_0
,,,,2800,,0.1123339398948067,,,,,0.2217972933896216,,,,,-63.35650386459021,dqn_run_0
,,,,7670,,0.0350048159005245,,,,,0.0612721047745555,,,,,-79.62861433399796,dqn_run_0
,,,,2790,,0.1412373433227575,,,,,0.1330494406638634,,,,,-26.383952546616825,dqn_run_0
,,,,7674,,,,,,,,,,,,,dqn_run_0
,,,,2780,,0.1887796475768871,,,,,0.0922094288758372,,,,,-92.22064993955678,dqn_run_0
,,,,7680,,0.0912547439457854,,,,,0.0480885102494305,,,,,-116.28076862209834,dqn_run_0
,,,,7630,,0.0660391300113938,,,,,0.0398082261727174,,,,,-106.06694014705664,dqn_run_0
,,,,7574,,,,,,,,,,,,,dqn_run_0
,,,,2670,,0.2279686500639318,,,,,0.0961190419495623,,,,,-65.77672538189351,dqn_run_0
,,,,2660,,0.3184101558556778,,,,,0.1215763618107026,,,,,-134.55501866887343,dqn_run_0
,,,,2550,,0.1864979841258199,,,,,0.0745830520203469,,,,,-126.63815033669144,dqn_run_0
,,,,7970,,0.0830123206485983,,,,,0.0511049090973237,,,,,-131.0777416662063,dqn_run_0
,,,,2540,,0.160367075851199,,,,,0.1459515408868953,,,,,-199.7590252864226,dqn_run_0
,,,,7974,,,,,,,,,,,,,dqn_run_0
,,,,2530,,0.1967449629003406,,,,,0.0552838899805191,,,,,-174.21797253643768,dqn_run_0
,,,,7980,,,,,,,,,,,,,dqn_run_0
,,,,2524,,,,,,,,,,,,,dqn_run_0
,,,,7990,,0.0475296875437897,,,,,0.0598909009486037,,,,,-64.04666803205478,dqn_run_0
,,,,2520,,0.2733037253604721,,,,,0.2054384139189523,,,,,-158.52750835442697,dqn_run_0
