episode_length,steps_per_second,epsilon,speaker_reward,_step,episode_reward,average_reward_last_10,speaker_q_values,listener_reward,global_step,_timestamp,_runtime,listener_loss,speaker_action_distribution_table,listener_action_distribution_table,listener_q_values,speaker_loss,run_name
,8.0,0.05,,1120,,-89.55303440581817,-0.914531409740448,,1120,1755614641.8048894,134.640992,0.1886863112449646,,,-0.4159179627895355,0.14880047738552094,ma_dqn_hypergraph_gat__1__1755614506
,8.0,0.05,,1130,,-92.69274287505789,-0.9632949829101562,,1130,1755614643.1818264,135.7650873,0.20202592015266418,,,-0.425618439912796,0.23566296696662903,ma_dqn_hypergraph_gat__1__1755614506
,8.0,0.05,,1140,,-92.69274287505789,-0.9793521165847778,,1140,1755614644.305677,136.838694,0.14534422755241394,,,-0.5058982968330383,0.12617862224578857,ma_dqn_hypergraph_gat__1__1755614506
,8.0,0.05,,1150,,-118.3711461321814,-0.9932519793510437,,1150,1755614645.3795152,138.0116649,0.1569838970899582,,,-0.46534526348114014,0.19408413767814636,ma_dqn_hypergraph_gat__1__1755614506
,8.0,0.05,,1180,,-116.7895052081013,-1.0845699310302734,,1180,1755614649.2850916,141.8288087,0.09877727180719376,,,-0.2991536259651184,0.15241976082324982,ma_dqn_hypergraph_gat__1__1755614506
,8.0,0.05,,1210,,-115.63336559942222,-1.3350074291229248,,1210,1755614652.8952801,145.5298122,0.14269617199897766,,,-0.36008286476135254,0.14777420461177826,ma_dqn_hypergraph_gat__1__1755614506
,8.0,0.05,,1220,,-115.63336559942222,-1.5228016376495361,,1220,1755614654.070387,146.7336822,0.1342950314283371,,,-0.4022218585014343,0.12723563611507416,ma_dqn_hypergraph_gat__1__1755614506
,8.0,0.05,,1230,,-126.75376242562297,-1.5021945238113403,,1230,1755614655.2742565,147.8145325,0.11170875281095505,,,-0.5011318922042847,0.15646114945411682,ma_dqn_hypergraph_gat__1__1755614506
,8.0,0.05,,1250,,-107.67469858942782,-1.2950046062469482,,1250,1755614661.073441,157.074042,0.09371421486139297,,,-0.695754885673523,0.17063403129577637,ma_dqn_hypergraph_gat__1__1755614506
,8.0,0.05,,1270,,-107.67469858942782,-1.1107683181762695,,1270,1755614670.1280022,162.8711772,0.13313426077365875,,,-0.7297692894935608,0.154685840010643,ma_dqn_hypergraph_gat__1__1755614506
,7.0,0.05,,1280,,-102.73607007877483,-1.0122863054275513,,1280,1755614677.574427,173.9255402,0.11721953749656677,,,-0.56783527135849,0.11033686250448227,ma_dqn_hypergraph_gat__1__1755614506
,7.0,0.05,,1290,,-102.73607007877483,-0.9188757538795471,,1290,1755614682.4662118,178.5528811,0.12218916416168213,,,-0.36245596408843994,0.12072877585887909,ma_dqn_hypergraph_gat__1__1755614506
,7.0,0.05,,1300,,-105.97989076252206,-0.9658889770507812,,1300,1755614687.0933444,183.2177623,0.10307609289884567,,,-0.2824924886226654,0.20292972028255463,ma_dqn_hypergraph_gat__1__1755614506
,7.0,0.05,,1310,,-105.97989076252206,-0.9583053588867188,,1310,1755614691.7582495,187.7927542,0.1350962370634079,,,-0.3530305325984955,0.22112542390823364,ma_dqn_hypergraph_gat__1__1755614506
,7.0,0.05,,1320,,-105.97989076252206,-1.0386861562728882,,1320,1755614696.3332074,192.8053787,0.10199876874685287,,,-0.32361069321632385,0.28582048416137695,ma_dqn_hypergraph_gat__1__1755614506
,6.0,0.05,,1340,,-103.49766232884815,-1.207003116607666,,1340,1755614705.9050145,202.3478233,0.10680771619081497,,,-0.4767844080924988,0.2792515456676483,ma_dqn_hypergraph_gat__1__1755614506
,6.0,0.05,,1360,,-104.53894288645002,-1.3938642740249634,,1360,1755614715.3917298,211.5005139,0.09823364019393921,,,-0.5664836168289185,0.23415996134281158,ma_dqn_hypergraph_gat__1__1755614506
,6.0,0.05,,1370,,-104.53894288645002,-1.6105543375015259,,1370,1755614720.0410333,216.2207535,0.07001452893018723,,,-0.693589448928833,0.1463533639907837,ma_dqn_hypergraph_gat__1__1755614506
,6.0,0.05,,1380,,-103.32075487615376,-1.6428248882293701,,1380,1755614724.7620857,220.2848785,0.08129708468914032,,,-0.67446368932724,0.1223021149635315,ma_dqn_hypergraph_gat__1__1755614506
,6.0,0.05,,1390,,-103.32075487615376,-1.6748825311660767,,1390,1755614728.8252606,224.932839,0.08389216661453247,,,-0.6539687514305115,0.13953450322151184,ma_dqn_hypergraph_gat__1__1755614506
,6.0,0.05,,1410,,-71.56772953263099,-1.5073283910751343,,1410,1755614737.640147,233.5342498,0.07119935750961304,,,-0.5993779897689819,0.20379209518432617,ma_dqn_hypergraph_gat__1__1755614506
,5.0,0.05,,1450,,-66.85742820632692,-1.124477744102478,,1450,1755614755.1474726,250.8994209,0.14040257036685944,,,-0.34602436423301697,0.19546349346637726,ma_dqn_hypergraph_gat__1__1755614506
,5.0,0.05,,1470,,-66.85742820632692,-1.1014281511306763,,1470,1755614763.0847201,259.2851536,0.07551366835832596,,,-0.373116672039032,0.11890465021133423,ma_dqn_hypergraph_gat__1__1755614506
,5.0,0.05,,1480,,-44.401840485389556,-1.1142853498458862,,1480,1755614767.825981,263.4273451,0.0701051726937294,,,-0.4593035578727722,0.10470743477344513,ma_dqn_hypergraph_gat__1__1755614506
,5.0,0.05,,1510,,-48.897658446261104,-1.380293846130371,,1510,1755614781.0549872,276.6415154,0.09343022853136063,,,-0.5937040448188782,0.12622973322868347,ma_dqn_hypergraph_gat__1__1755614506
,5.0,0.05,,1520,,-48.897658446261104,-1.435341715812683,,1520,1755614785.1818557,277.9021391,0.0707591325044632,,,-0.7016519904136658,0.1334727704524994,ma_dqn_hypergraph_gat__1__1755614506
,5.0,0.05,,1550,,-44.40677136694592,-1.54609215259552,,1550,1755614802.4236894,298.3178756,0.10602967441082001,,,-0.8832417726516724,0.12680938839912415,ma_dqn_hypergraph_gat__1__1755614506
,5.0,0.05,,1560,,-44.40677136694592,-1.4837074279785156,,1560,1755614806.8590145,302.9343404,0.08997988700866699,,,-0.7395151853561401,0.12100943922996521,ma_dqn_hypergraph_gat__1__1755614506
,5.0,0.05,,1600,,-45.47340643617374,-1.1471039056777954,,1600,1755614825.5117922,321.5294325,0.08699405938386917,,,-0.46249324083328247,0.12168307602405548,ma_dqn_hypergraph_gat__1__1755614506
,5.0,0.05,,1610,,-45.47340643617374,-1.1573712825775146,,1610,1755614830.069882,325.8957272,0.07671196758747101,,,-0.47202062606811523,0.14339490234851837,ma_dqn_hypergraph_gat__1__1755614506
,5.0,0.05,,1620,,-45.47340643617374,-1.093247652053833,,1620,1755614834.4361806,330.692052,0.09550628066062927,,,-0.405224472284317,0.1415025293827057,ma_dqn_hypergraph_gat__1__1755614506
,5.0,0.05,,1630,,-41.90956729226431,-1.1320043802261353,,1630,1755614839.232499,335.329104,0.10209524631500244,,,-0.4327719509601593,0.12400279939174652,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1640,,-41.90956729226431,-1.081630825996399,,1640,1755614843.869973,340.0937447,0.05994510278105736,,,-0.4759107828140259,0.11934161931276321,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1650,,-44.67439715822233,-1.1192978620529175,,1650,1755614848.6353502,344.5176709,0.06755530089139938,,,-0.5164764523506165,0.2213612049818039,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1660,,-44.67439715822233,-1.2057653665542603,,1660,1755614853.0583055,348.6604496,0.09018063545227051,,,-0.5707831382751465,0.2679743468761444,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1670,,-44.67439715822233,-1.3282997608184814,,1670,1755614857.2018485,353.6635272,0.08343195170164108,,,-0.6492483615875244,0.2152160108089447,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1690,,-45.02436208464313,-1.5945016145706177,,1690,1755614866.7790353,363.0860324,0.07985404133796692,,,-0.7797641754150391,0.16785630583763123,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1720,,-51.36743503490472,-1.4527454376220703,,1720,1755614880.808734,376.9322746,0.0926448404788971,,,-0.8198099136352539,0.12413845211267471,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1730,,-45.25690041266703,-1.5307393074035645,,1730,1755614885.4739885,381.4021969,0.1014450341463089,,,-0.9217591285705566,0.12856119871139526,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1750,,-48.57798513324557,-1.1869561672210693,,1750,1755614894.7162538,390.466195,0.07219597697257996,,,-0.8137510418891907,0.14005453884601593,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1770,,-48.57798513324557,-0.9829750061035156,,1770,1755614903.6779766,396.1351054,0.07275623083114624,,,-0.6936648488044739,0.11056360602378845,ma_dqn_hypergraph_gat__1__1755614506
